homeownership,verified_income,income_band,emp_length_bucket,state,borrower_segment_id
MORTGAGE,Verified,Upper-Mid,3-5,NJ,1
RENT,Not Verified,Low,6-10,HI,2
RENT,Source Verified,Low,3-5,WI,3
RENT,Not Verified,Low,1-2,PA,4
RENT,Verified,Low,6-10,CA,5
OWN,Not Verified,Low,,KY,6
MORTGAGE,Source Verified,Low,6-10,MI,7
MORTGAGE,Source Verified,High,6-10,AZ,8
MORTGAGE,Source Verified,Lower-Mid,6-10,NV,9
RENT,Not Verified,Low,3-5,IL,10
MORTGAGE,Verified,Upper-Mid,6-10,IL,11
MORTGAGE,Source Verified,Upper-Mid,1-2,FL,12
MORTGAGE,Source Verified,High,3-5,SC,13
MORTGAGE,Source Verified,Upper-Mid,6-10,CO,14
MORTGAGE,Verified,Low,,FL,15
MORTGAGE,Not Verified,Lower-Mid,6-10,TN,16
MORTGAGE,Not Verified,Lower-Mid,,NV,17
RENT,Source Verified,Upper-Mid,3-5,NV,18
MORTGAGE,Verified,High,6-10,IL,19
MORTGAGE,Source Verified,Upper-Mid,1-2,CA,20
MORTGAGE,Not Verified,Lower-Mid,6-10,KY,21
MORTGAGE,Source Verified,Low,1-2,NV,22
MORTGAGE,Not Verified,High,3-5,NJ,23
MORTGAGE,Verified,Low,,TX,24
RENT,Not Verified,Upper-Mid,6-10,VA,25
MORTGAGE,Source Verified,Lower-Mid,6-10,PA,26
RENT,Source Verified,Lower-Mid,1-2,NY,27
RENT,Not Verified,Lower-Mid,3-5,GA,28
MORTGAGE,Source Verified,Lower-Mid,3-5,MO,29
MORTGAGE,Verified,High,3-5,CA,30
MORTGAGE,Source Verified,High,3-5,TX,31
MORTGAGE,Verified,Lower-Mid,6-10,AR,32
MORTGAGE,Source Verified,Upper-Mid,3-5,SC,33
MORTGAGE,Not Verified,High,6-10,CA,34
OWN,Source Verified,Upper-Mid,1-2,MD,35
RENT,Source Verified,Low,1-2,MD,36
MORTGAGE,Verified,Upper-Mid,6-10,NJ,37
RENT,Not Verified,Upper-Mid,1-2,PA,38
RENT,Source Verified,Lower-Mid,1-2,CA,39
MORTGAGE,Not Verified,Low,,MI,40
RENT,Source Verified,Upper-Mid,3-5,MD,41
RENT,Source Verified,Upper-Mid,6-10,VA,42
RENT,Source Verified,Low,1-2,TX,43
OWN,Not Verified,Upper-Mid,6-10,NC,44
MORTGAGE,Not Verified,High,1-2,FL,45
RENT,Verified,Low,0 or less,TX,46
RENT,Not Verified,Low,1-2,NE,47
MORTGAGE,Source Verified,Upper-Mid,6-10,NC,48
MORTGAGE,Verified,High,1-2,TX,49
RENT,Not Verified,High,6-10,TX,50
RENT,Source Verified,High,1-2,CA,51
MORTGAGE,Source Verified,Upper-Mid,6-10,GA,52
MORTGAGE,Not Verified,Upper-Mid,3-5,NC,53
OWN,Source Verified,Low,,FL,54
MORTGAGE,Verified,Upper-Mid,6-10,NV,55
MORTGAGE,Not Verified,Upper-Mid,,NV,56
RENT,Not Verified,High,6-10,CO,57
MORTGAGE,Verified,Lower-Mid,6-10,WV,58
OWN,Source Verified,Lower-Mid,6-10,MD,59
RENT,Not Verified,High,1-2,VA,60
MORTGAGE,Verified,High,6-10,VA,61
MORTGAGE,Source Verified,High,6-10,CA,62
MORTGAGE,Not Verified,Upper-Mid,0 or less,PA,63
MORTGAGE,Not Verified,Low,6-10,FL,64
MORTGAGE,Source Verified,Lower-Mid,3-5,IL,65
MORTGAGE,Not Verified,Upper-Mid,3-5,NH,66
RENT,Source Verified,Low,0 or less,UT,67
OWN,Source Verified,Low,,DE,68
RENT,Source Verified,Low,0 or less,MA,69
RENT,Source Verified,Lower-Mid,3-5,NJ,70
RENT,Source Verified,Low,3-5,KY,71
MORTGAGE,Source Verified,Upper-Mid,1-2,NC,72
RENT,Verified,Low,,OR,73
RENT,Verified,Lower-Mid,0 or less,OH,74
MORTGAGE,Verified,Low,6-10,TX,75
MORTGAGE,Verified,Low,3-5,CA,76
MORTGAGE,Verified,Upper-Mid,0 or less,OK,77
MORTGAGE,Source Verified,Upper-Mid,1-2,PA,78
MORTGAGE,Source Verified,High,6-10,TX,79
MORTGAGE,Source Verified,Low,6-10,FL,80
MORTGAGE,Verified,Upper-Mid,6-10,VA,81
OWN,Not Verified,Upper-Mid,6-10,SD,82
MORTGAGE,Not Verified,High,6-10,MO,83
MORTGAGE,Source Verified,Lower-Mid,1-2,IL,84
OWN,Source Verified,Low,3-5,TX,85
RENT,Source Verified,Upper-Mid,6-10,FL,86
RENT,Source Verified,Lower-Mid,1-2,AZ,87
MORTGAGE,Source Verified,High,6-10,NY,88
OWN,Verified,High,6-10,NJ,89
RENT,Not Verified,Lower-Mid,3-5,IL,90
RENT,Not Verified,Lower-Mid,,MN,91
MORTGAGE,Not Verified,High,3-5,TX,92
RENT,Source Verified,High,6-10,CO,93
MORTGAGE,Not Verified,Upper-Mid,6-10,MA,94
MORTGAGE,Source Verified,Upper-Mid,6-10,NJ,95
MORTGAGE,Verified,Low,6-10,MN,96
OWN,Not Verified,Upper-Mid,6-10,NY,97
RENT,Source Verified,Lower-Mid,3-5,IL,98
MORTGAGE,Source Verified,High,0 or less,TX,99
MORTGAGE,Not Verified,High,3-5,TN,100
MORTGAGE,Not Verified,Lower-Mid,6-10,NH,101
RENT,Source Verified,Low,1-2,SC,102
MORTGAGE,Not Verified,Upper-Mid,1-2,NY,103
MORTGAGE,Verified,Low,1-2,FL,104
RENT,Source Verified,Lower-Mid,1-2,TX,105
RENT,Not Verified,Lower-Mid,6-10,TX,106
RENT,Source Verified,Lower-Mid,1-2,FL,107
MORTGAGE,Source Verified,Lower-Mid,6-10,AL,108
RENT,Not Verified,Low,,WY,109
RENT,Source Verified,Upper-Mid,3-5,CA,110
MORTGAGE,Source Verified,Lower-Mid,0 or less,PA,111
RENT,Source Verified,High,3-5,CA,112
MORTGAGE,Not Verified,Lower-Mid,6-10,CO,113
RENT,Not Verified,Low,6-10,NY,114
MORTGAGE,Verified,Low,,MO,115
OWN,Verified,Lower-Mid,3-5,FL,116
MORTGAGE,Source Verified,High,6-10,MO,117
MORTGAGE,Source Verified,Lower-Mid,3-5,CA,118
MORTGAGE,Verified,High,6-10,NY,119
RENT,Source Verified,Low,1-2,MA,120
RENT,Not Verified,Low,3-5,TN,121
OWN,Source Verified,High,6-10,NJ,122
MORTGAGE,Source Verified,Upper-Mid,3-5,LA,123
MORTGAGE,Source Verified,Low,0 or less,OH,124
RENT,Not Verified,High,1-2,MA,125
OWN,Verified,High,6-10,WV,126
RENT,Verified,High,6-10,GA,127
MORTGAGE,Source Verified,Upper-Mid,3-5,CA,128
RENT,Not Verified,Low,6-10,PA,129
RENT,Not Verified,Low,3-5,WI,130
OWN,Not Verified,Low,,TX,131
OWN,Not Verified,Low,6-10,IN,132
OWN,Source Verified,Low,1-2,CA,133
MORTGAGE,Verified,Low,6-10,OH,134
RENT,Not Verified,High,1-2,CA,135
RENT,Verified,Lower-Mid,3-5,CA,136
RENT,Not Verified,Low,6-10,MI,137
MORTGAGE,Verified,Low,1-2,NY,138
RENT,Not Verified,Low,1-2,IL,139
RENT,Not Verified,High,3-5,KS,140
OWN,Verified,Low,,NY,141
MORTGAGE,Source Verified,Upper-Mid,6-10,NY,142
RENT,Not Verified,Upper-Mid,1-2,OH,143
MORTGAGE,Verified,Lower-Mid,3-5,MA,144
MORTGAGE,Not Verified,High,6-10,MD,145
RENT,Source Verified,High,0 or less,AR,146
RENT,Source Verified,Lower-Mid,3-5,NY,147
RENT,Source Verified,Low,6-10,MS,148
RENT,Not Verified,,,AZ,149
RENT,Not Verified,High,3-5,VA,150
MORTGAGE,Not Verified,Low,6-10,IL,151
OWN,Source Verified,Lower-Mid,,TN,152
MORTGAGE,Source Verified,High,3-5,CA,153
MORTGAGE,Not Verified,Upper-Mid,1-2,IL,154
RENT,Source Verified,Low,0 or less,OR,155
MORTGAGE,Source Verified,Lower-Mid,6-10,FL,156
RENT,Source Verified,Lower-Mid,0 or less,CA,157
MORTGAGE,Not Verified,Upper-Mid,6-10,IN,158
MORTGAGE,Source Verified,Upper-Mid,6-10,MN,159
MORTGAGE,Not Verified,Lower-Mid,,TX,160
MORTGAGE,Verified,High,3-5,NC,161
MORTGAGE,Not Verified,High,3-5,MS,162
RENT,Not Verified,Upper-Mid,1-2,NY,163
OWN,Source Verified,Lower-Mid,3-5,TX,164
MORTGAGE,Source Verified,High,1-2,NY,165
RENT,Source Verified,Upper-Mid,6-10,OR,166
MORTGAGE,Not Verified,Lower-Mid,6-10,TX,167
MORTGAGE,Source Verified,Low,0 or less,NY,168
RENT,Not Verified,Lower-Mid,1-2,CA,169
RENT,Source Verified,Upper-Mid,1-2,GA,170
MORTGAGE,Source Verified,Lower-Mid,3-5,AL,171
OWN,Not Verified,Upper-Mid,6-10,FL,172
MORTGAGE,Source Verified,High,6-10,MI,173
OWN,Source Verified,Upper-Mid,6-10,CO,174
RENT,Not Verified,Upper-Mid,1-2,SC,175
MORTGAGE,Source Verified,Low,3-5,NC,176
RENT,Not Verified,Low,,NC,177
RENT,Source Verified,Low,0 or less,WA,178
OWN,Not Verified,Upper-Mid,0 or less,LA,179
RENT,Source Verified,Upper-Mid,6-10,NE,180
MORTGAGE,Source Verified,Lower-Mid,6-10,CO,181
RENT,Verified,Upper-Mid,6-10,CA,182
RENT,Not Verified,Low,3-5,FL,183
RENT,Source Verified,High,6-10,CA,184
RENT,Not Verified,Upper-Mid,1-2,FL,185
MORTGAGE,Not Verified,Low,6-10,KY,186
MORTGAGE,Source Verified,Low,3-5,CA,187
OWN,Verified,Upper-Mid,6-10,AR,188
MORTGAGE,Verified,Upper-Mid,,NJ,189
RENT,Source Verified,Upper-Mid,6-10,TX,190
OWN,Not Verified,Low,0 or less,CA,191
MORTGAGE,Not Verified,Upper-Mid,3-5,TX,192
MORTGAGE,Source Verified,Low,6-10,NJ,193
RENT,Source Verified,Low,1-2,CA,194
