loan_purpose,term,term_bucket,grade,sub_grade,disbursement_method,application_type,loan_product_id
moving,60,60,C,C3,Cash,individual,1
debt_consolidation,36,36,C,C1,Cash,individual,2
other,36,36,D,D1,Cash,individual,3
debt_consolidation,36,36,A,A3,Cash,individual,4
credit_card,36,36,C,C3,Cash,joint,5
other,36,36,A,A3,Cash,individual,6
credit_card,60,60,C,C2,Cash,joint,7
debt_consolidation,60,60,B,B5,Cash,individual,8
home_improvement,36,36,C,C2,Cash,individual,9
credit_card,36,36,A,A3,Cash,individual,10
debt_consolidation,60,60,C,C4,Cash,individual,11
other,60,60,B,B2,Cash,individual,12
debt_consolidation,36,36,C,C2,Cash,individual,13
credit_card,60,60,B,B1,DirectPay,individual,14
debt_consolidation,36,36,D,D3,Cash,individual,15
credit_card,60,60,D,D3,Cash,individual,16
debt_consolidation,60,60,F,F1,Cash,individual,17
medical,36,36,E,E5,Cash,individual,18
credit_card,36,36,A,A2,Cash,individual,19
credit_card,36,36,B,B5,Cash,joint,20
debt_consolidation,60,60,C,C2,Cash,individual,21
home_improvement,36,36,A,A3,Cash,individual,22
credit_card,36,36,A,A5,Cash,individual,23
debt_consolidation,60,60,C,C1,Cash,individual,24
credit_card,36,36,B,B5,Cash,individual,25
debt_consolidation,36,36,A,A4,Cash,individual,26
debt_consolidation,36,36,A,A1,Cash,individual,27
house,36,36,A,A2,Cash,individual,28
debt_consolidation,60,60,B,B1,Cash,individual,29
credit_card,60,60,D,D3,Cash,joint,30
debt_consolidation,60,60,D,D4,Cash,individual,31
debt_consolidation,60,60,B,B2,Cash,individual,32
small_business,36,36,A,A2,Cash,individual,33
debt_consolidation,36,36,D,D5,Cash,individual,34
car,60,60,C,C4,Cash,joint,35
other,36,36,B,B3,Cash,individual,36
other,36,36,C,C1,Cash,individual,37
other,60,60,D,D2,Cash,joint,38
moving,60,60,B,B5,Cash,individual,39
credit_card,36,36,C,C4,Cash,individual,40
home_improvement,60,60,C,C1,Cash,individual,41
debt_consolidation,36,36,C,C4,Cash,individual,42
car,60,60,B,B2,Cash,individual,43
credit_card,36,36,B,B3,Cash,individual,44
debt_consolidation,60,60,E,E1,Cash,individual,45
debt_consolidation,60,60,G,G1,Cash,individual,46
major_purchase,60,60,C,C4,Cash,individual,47
debt_consolidation,36,36,A,A2,Cash,joint,48
debt_consolidation,36,36,A,A2,Cash,individual,49
debt_consolidation,36,36,D,D1,Cash,joint,50
house,36,36,A,A4,Cash,individual,51
debt_consolidation,36,36,A,A1,DirectPay,individual,52
debt_consolidation,36,36,B,B2,Cash,individual,53
credit_card,60,60,C,C3,Cash,individual,54
medical,36,36,A,A5,Cash,individual,55
car,36,36,C,C1,Cash,individual,56
major_purchase,60,60,D,D3,Cash,individual,57
credit_card,36,36,C,C1,Cash,individual,58
debt_consolidation,60,60,C,C3,Cash,joint,59
debt_consolidation,36,36,B,B4,Cash,individual,60
credit_card,36,36,D,D2,Cash,individual,61
other,36,36,C,C5,Cash,joint,62
other,36,36,A,A2,Cash,individual,63
home_improvement,60,60,B,B1,Cash,individual,64
debt_consolidation,60,60,B,B3,Cash,individual,65
debt_consolidation,36,36,A,A5,Cash,individual,66
small_business,60,60,C,C2,Cash,individual,67
credit_card,60,60,C,C4,Cash,individual,68
home_improvement,36,36,C,C1,Cash,individual,69
credit_card,36,36,A,A5,DirectPay,individual,70
debt_consolidation,60,60,C,C5,Cash,individual,71
debt_consolidation,36,36,E,E1,Cash,individual,72
debt_consolidation,60,60,D,D2,Cash,individual,73
major_purchase,36,36,B,B2,Cash,individual,74
credit_card,60,60,D,D4,Cash,joint,75
debt_consolidation,36,36,C,C4,Cash,joint,76
debt_consolidation,60,60,E,E5,Cash,individual,77
credit_card,36,36,A,A1,DirectPay,individual,78
home_improvement,36,36,C,C3,Cash,individual,79
small_business,36,36,C,C2,Cash,individual,80
debt_consolidation,60,60,D,D5,Cash,individual,81
moving,36,36,B,B3,Cash,individual,82
debt_consolidation,36,36,D,D1,Cash,individual,83
debt_consolidation,36,36,E,E2,Cash,joint,84
debt_consolidation,36,36,C,C5,Cash,individual,85
car,36,36,B,B2,Cash,individual,86
credit_card,36,36,A,A4,Cash,individual,87
house,60,60,C,C2,Cash,individual,88
debt_consolidation,36,36,C,C3,Cash,joint,89
credit_card,36,36,A,A4,DirectPay,individual,90
home_improvement,60,60,C,C4,Cash,individual,91
debt_consolidation,36,36,A,A3,Cash,joint,92
debt_consolidation,36,36,E,E2,Cash,individual,93
other,36,36,C,C4,Cash,joint,94
debt_consolidation,60,60,E,E4,Cash,individual,95
debt_consolidation,36,36,B,B1,Cash,individual,96
credit_card,36,36,C,C5,Cash,individual,97
home_improvement,60,60,B,B4,Cash,individual,98
other,60,60,D,D5,Cash,individual,99
major_purchase,36,36,B,B3,Cash,joint,100
credit_card,36,36,A,A1,Cash,individual,101
home_improvement,60,60,D,D2,Cash,individual,102
medical,36,36,A,A1,Cash,individual,103
house,60,60,D,D1,Cash,individual,104
credit_card,36,36,A,A2,DirectPay,individual,105
debt_consolidation,60,60,D,D1,Cash,joint,106
other,36,36,C,C5,Cash,individual,107
credit_card,60,60,C,C2,Cash,individual,108
other,36,36,B,B2,Cash,individual,109
small_business,60,60,C,C4,Cash,individual,110
credit_card,36,36,A,A3,DirectPay,individual,111
debt_consolidation,36,36,B,B5,Cash,individual,112
credit_card,36,36,C,C2,Cash,individual,113
major_purchase,60,60,B,B3,Cash,individual,114
debt_consolidation,36,36,C,C1,Cash,joint,115
debt_consolidation,60,60,C,C3,Cash,individual,116
other,60,60,C,C1,Cash,individual,117
debt_consolidation,36,36,D,D2,Cash,individual,118
credit_card,60,60,C,C5,Cash,individual,119
debt_consolidation,60,60,D,D3,Cash,individual,120
other,36,36,A,A4,Cash,individual,121
other,36,36,A,A1,Cash,individual,122
debt_consolidation,36,36,A,A4,Cash,joint,123
house,36,36,B,B5,Cash,individual,124
debt_consolidation,36,36,B,B2,Cash,joint,125
debt_consolidation,36,36,C,C2,Cash,joint,126
credit_card,36,36,C,C1,Cash,joint,127
other,36,36,D,D3,Cash,individual,128
home_improvement,36,36,A,A2,Cash,individual,129
other,36,36,B,B5,Cash,individual,130
vacation,36,36,B,B1,Cash,individual,131
credit_card,60,60,C,C1,Cash,individual,132
