month_start,complaints_count
2022-01-01,2781
2022-02-01,2817
2022-03-01,3165
2022-04-01,2889
2022-05-01,2206
2022-06-01,2224
2022-07-01,2182
2022-08-01,2620
2022-09-01,2904
2022-10-01,2978
2022-11-01,2127
2022-12-01,2346
2023-01-01,3419
2023-02-01,2693
2023-03-01,2691
2023-04-01,2055
2023-05-01,2297
2023-06-01,2101
2023-07-01,2203
2023-08-01,3875
2023-09-01,8206
2023-10-01,9956
2023-11-01,8826
2023-12-01,8056
2024-01-01,8946
2024-02-01,8603
2024-03-01,9416
2024-04-01,9908
2024-05-01,10024
2024-06-01,8349
2024-07-01,9172
2024-08-01,10375
2024-09-01,10802
2024-10-01,10753
2024-11-01,8999
2024-12-01,10094
2025-01-01,13945
2025-02-01,10133
2025-03-01,11828
2025-04-01,11239
2025-05-01,11725
2025-06-01,11046
2025-07-01,12286
2025-08-01,11619
2025-09-01,12276
2025-10-01,11315
2025-11-01,10141
2025-12-01,1497
