issue_month_start,loan_amount,interest_rate,installment,balance,loan_status,high_risk_flag,behavioral_risk_flag,risk_band,income_band,emp_length_bucket,term,term_bucket,loan_purpose,grade,sub_grade,homeownership,verified_income,debt_to_income,unemployment_rate,cpi_inflation_proxy,fed_funds_rate_avg
2018-03-01,28000.0,14.07,652.53,27015.86,Current,0,0,Medium,Upper-Mid,3-5,60,60,moving,C,C3,MORTGAGE,Verified,18.01,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,5000.0,12.61,167.54,4651.37,Current,0,1,Medium,Low,6-10,36,36,debt_consolidation,C,C1,RENT,Not Verified,5.04,4.1,0.45346899748655,1.4175
2018-02-01,2000.0,17.09,71.4,1824.63,Current,1,0,High,Low,3-5,36,36,other,D,D1,RENT,Source Verified,21.15,4.1,0.45346899748655,1.4175
2018-01-01,21600.0,6.72,664.19,18853.26,Current,0,1,Low,Low,1-2,36,36,debt_consolidation,A,A3,RENT,Not Verified,10.16,4.0,0.5447745452775409,1.414516129032258
2018-03-01,23000.0,14.07,786.87,21430.15,Current,0,0,Medium,Low,6-10,36,36,credit_card,C,C3,RENT,Verified,57.96,4.0,0.2261125904149038,1.5061290322580645
2018-01-01,5000.0,6.72,153.75,4256.71,Current,0,0,Low,Low,,36,36,other,A,A3,OWN,Not Verified,6.46,4.0,0.5447745452775409,1.414516129032258
2018-01-01,24000.0,13.59,553.35,22560.0,Current,0,0,Medium,Low,6-10,60,60,credit_card,C,C2,MORTGAGE,Source Verified,23.66,4.0,0.5447745452775409,1.414516129032258
2018-01-01,20000.0,11.99,444.79,19005.39,Current,0,0,Low,High,6-10,60,60,debt_consolidation,B,B5,MORTGAGE,Source Verified,16.19,4.0,0.5447745452775409,1.414516129032258
2018-02-01,20000.0,13.59,679.58,18156.66,Current,0,1,Medium,Lower-Mid,6-10,36,36,home_improvement,C,C2,MORTGAGE,Source Verified,36.48,4.1,0.45346899748655,1.4175
2018-03-01,6400.0,6.71,196.77,6077.13,Current,0,0,Low,Low,3-5,36,36,credit_card,A,A3,RENT,Not Verified,18.91,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,25000.0,15.04,595.28,24143.51,Current,0,1,Medium,Upper-Mid,6-10,60,60,debt_consolidation,C,C4,MORTGAGE,Verified,10.45,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,40000.0,9.92,848.31,38434.2,Current,0,0,Low,Upper-Mid,1-2,60,60,other,B,B2,MORTGAGE,Source Verified,1.82,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,16000.0,13.59,543.67,14525.3,Current,0,0,Medium,High,3-5,36,36,debt_consolidation,C,C2,MORTGAGE,Source Verified,12.06,4.1,0.45346899748655,1.4175
2018-02-01,17000.0,9.43,356.46,16326.13,Current,0,0,Low,Upper-Mid,6-10,60,60,credit_card,B,B1,MORTGAGE,Source Verified,3.67,4.1,0.45346899748655,1.4175
2018-01-01,3000.0,19.03,110.02,2744.21,Current,1,1,High,Low,,36,36,debt_consolidation,D,D3,MORTGAGE,Verified,33.98,4.0,0.5447745452775409,1.414516129032258
2018-02-01,20000.0,19.03,519.15,19172.64,Current,1,0,High,Lower-Mid,6-10,60,60,credit_card,D,D3,MORTGAGE,Not Verified,38.46,4.1,0.45346899748655,1.4175
2018-01-01,12000.0,19.03,311.49,11374.52,Current,1,0,High,Lower-Mid,,60,60,credit_card,D,D3,MORTGAGE,Not Verified,31.22,4.0,0.5447745452775409,1.414516129032258
2018-01-01,30000.0,28.72,947.15,28798.08,Current,1,0,High,Upper-Mid,3-5,60,60,debt_consolidation,F,F1,RENT,Source Verified,20.33,4.0,0.5447745452775409,1.414516129032258
2018-02-01,5000.0,26.77,203.51,0.0,Fully Paid,1,0,High,High,6-10,36,36,medical,E,E5,MORTGAGE,Verified,9.53,4.1,0.45346899748655,1.4175
